;i;j;period;weight
0;Batagelj, Vladimir;Bertrand, Patrice;1;1.0
1;Batagelj, Vladimir;Ferligoj, Anuska;1;5.0
2;Batagelj, Vladimir;Murtagh, Fionn;1;1.0
3;Batagelj, Vladimir;Wolfgang A. Gaul;1;1.0
4;Batagelj, Vladimir;Edvin Diday;1;3.0
5;Braak, Cajo ter;Verde, Rosanna;1;1.0
6;De Carvalho, Francisco De Assis Tenhorio;Edvin Diday;1;2.0
7;Ferligoj, Anuska;Bertrand, Patrice;1;1.0
8;Ferligoj, Anuska;Mirkin, Boris;1;1.0
9;Ferligoj, Anuska;Murtagh, Fionn;1;1.0
10;Ferligoj, Anuska;Wolfgang A. Gaul;1;1.0
11;Ferligoj, Anuska;Edvin Diday;1;1.0
12;Geyer-Schulz, Andreas;Frank Klawonn;1;1.0
13;Geyer-Schulz, Andreas;Rudolf Kruse;1;1.0
14;Groenen, Patrick J.F.;Leisch, Friedrich;1;1.0
15;Groenen, Patrick J.F.;Meulman, Jacqueline;1;4.0
16;Groenen, Patrick J.F.;Tibshirani, Robert;1;1.0
17;Groenen, Patrick J.F.;Renato Coppi;1;2.0
18;Groenen, Patrick J.F.;Wolfgang A. Gaul;1;1.0
19;Hastie, Trevor;McLachlan, Geoff;1;1.0
20;Hennig, Christian;Wolfgang A. Gaul;1;1.0
21;Kiers, Henk;Rocci, Roberto;1;5.0
22;Kiers, Henk;Renato Coppi;1;5.0
23;Kiers, Henk;Vichi, Maurizio;1;1.0
24;Kiers, Henk;Wojtek J Krzanowski;1;4.0
25;Lausen, Berthold;Hastie, Trevor;1;1.0
26;Leisch, Friedrich;Tibshirani, Robert;1;2.0
27;Makarenkov, Vladimir;Mirkin, Boris;1;2.0
28;Makarenkov, Vladimir;Alain Guenoche;1;2.0
29;Makarenkov, Vladimir;Edvin Diday;1;2.0
30;McLachlan, Geoff;Hastie, Trevor;1;1.0
31;McLachlan, Geoff;Lausen, Berthold;1;2.0
32;McLachlan, Geoff;Murtagh, Fionn;1;1.0
33;McLachlan, Geoff;Tibshirani, Robert;1;4.0
34;McLachlan, Geoff;Gilles Celeux;1;5.0
35;McLachlan, Geoff;Wojtek J Krzanowski;1;2.0
36;McLachlan, Geoff;Adrian Raftery;1;4.0
37;Meulman, Jacqueline;Groenen, Patrick J.F.;1;7.0
38;Meulman, Jacqueline;Hastie, Trevor;1;3.0
39;Meulman, Jacqueline;Lausen, Berthold;1;3.0
40;Meulman, Jacqueline;McLachlan, Geoff;1;2.0
41;Meulman, Jacqueline;Mirkin, Boris;1;2.0
42;Meulman, Jacqueline;Tibshirani, Robert;1;5.0
43;Meulman, Jacqueline;Gilles Celeux;1;1.0
44;Meulman, Jacqueline;Renato Coppi;1;2.0
45;Meulman, Jacqueline;Vichi, Maurizio;1;2.0
46;Meulman, Jacqueline;Wojtek J Krzanowski;1;5.0
47;Meulman, Jacqueline;Gilbert Saporta;1;1.0
48;Meulman, Jacqueline;Edvin Diday;1;2.0
49;Meulman, Jacqueline;Adrian Raftery;1;2.0
50;Mirkin, Boris;Makarenkov, Vladimir;1;1.0
51;Mirkin, Boris;Meulman, Jacqueline;1;3.0
52;Mirkin, Boris;Van Mechelen Iven;1;1.0
53;Mirkin, Boris;Alain Guenoche;1;2.0
54;Mirkin, Boris;Edvin Diday;1;2.0
55;Murtagh, Fionn;McLachlan, Geoff;1;1.0
56;Murtagh, Fionn;Gilles Celeux;1;2.0
57;Murtagh, Fionn;Wojtek J Krzanowski;1;2.0
58;Murtagh, Fionn;Adrian Raftery;1;5.0
59;Riani, Marco;McLachlan, Geoff;1;1.0
60;Riani, Marco;Wojtek J Krzanowski;1;1.0
61;Rocci, Roberto;Kiers, Henk;1;1.0
62;Rocci, Roberto;Renato Coppi;1;1.0
63;Tibshirani, Robert;Braak, Cajo ter;1;1.0
64;Tibshirani, Robert;Hastie, Trevor;1;1.0
65;Tibshirani, Robert;McLachlan, Geoff;1;1.0
66;Tibshirani, Robert;Adrian Raftery;1;1.0
67;Van Mechelen Iven;Lausen, Berthold;1;1.0
68;Van Mechelen Iven;Meulman, Jacqueline;1;1.0
69;Van Mechelen Iven;Mirkin, Boris;1;1.0
70;Van Mechelen Iven;Edvin Diday;1;1.0
71;Paula Brito;Bertrand, Patrice;1;1.0
72;Paula Brito;Edvin Diday;1;1.0
73;Gilles Celeux;McLachlan, Geoff;1;1.0
74;Gilles Celeux;Murtagh, Fionn;1;1.0
75;Renato Coppi;Bertrand, Patrice;1;1.0
76;Alain Guenoche;De Carvalho, Francisco De Assis Tenhorio;1;1.0
77;Alain Guenoche;Edvin Diday;1;1.0
78;Rudolf Kruse;Braak, Cajo ter;1;1.0
79;Rudolf Kruse;Frank Klawonn;1;1.0
80;Rudolf Kruse;Edvin Diday;1;1.0
81;Vichi, Maurizio;McLachlan, Geoff;1;1.0
82;Wolfgang A. Gaul;Bertrand, Patrice;1;1.0
83;Wolfgang A. Gaul;Ferligoj, Anuska;1;1.0
84;Wojtek J Krzanowski;Hastie, Trevor;1;1.0
85;Wojtek J Krzanowski;McLachlan, Geoff;1;1.0
86;Wojtek J Krzanowski;Meulman, Jacqueline;1;1.0
87;Wojtek J Krzanowski;Tibshirani, Robert;1;1.0
88;Adrian Raftery;Ferligoj, Anuska;1;1.0
89;Adrian Raftery;Hastie, Trevor;1;1.0
90;Adrian Raftery;Lausen, Berthold;1;1.0
91;Adrian Raftery;McLachlan, Geoff;1;2.0
92;Adrian Raftery;Murtagh, Fionn;1;1.0
93;Adrian Raftery;Gilles Celeux;1;2.0
94;Adrian Raftery;Edvin Diday;1;1.0
95;Batagelj, Vladimir;Bertrand, Patrice;2;2.0
96;Batagelj, Vladimir;Bodjanova, Slavka;2;1.0
97;Batagelj, Vladimir;De Carvalho, Francisco De Assis Tenhorio;2;1.0
98;Batagelj, Vladimir;Ferligoj, Anuska;2;5.0
99;Batagelj, Vladimir;Groenen, Patrick J.F.;2;1.0
100;Batagelj, Vladimir;Hennig, Christian;2;1.0
101;Batagelj, Vladimir;Kiers, Henk;2;2.0
102;Batagelj, Vladimir;Meulman, Jacqueline;2;1.0
103;Batagelj, Vladimir;Murtagh, Fionn;2;2.0
104;Batagelj, Vladimir;Riani, Marco;2;1.0
105;Batagelj, Vladimir;Rocci, Roberto;2;1.0
106;Batagelj, Vladimir;Van Mechelen Iven;2;1.0
107;Batagelj, Vladimir;Paula Brito;2;2.0
108;Batagelj, Vladimir;Vichi, Maurizio;2;3.0
109;Batagelj, Vladimir;Wolfgang A. Gaul;2;3.0
110;Batagelj, Vladimir;Edvin Diday;2;3.0
111;Bertrand, Patrice;Batagelj, Vladimir;2;1.0
112;Bertrand, Patrice;Bodjanova, Slavka;2;1.0
113;Bertrand, Patrice;De Carvalho, Francisco De Assis Tenhorio;2;3.0
114;Bertrand, Patrice;Ferligoj, Anuska;2;1.0
115;Bertrand, Patrice;Groenen, Patrick J.F.;2;1.0
116;Bertrand, Patrice;Kiers, Henk;2;1.0
117;Bertrand, Patrice;Meulman, Jacqueline;2;1.0
118;Bertrand, Patrice;Murtagh, Fionn;2;1.0
119;Bertrand, Patrice;Riani, Marco;2;1.0
120;Bertrand, Patrice;Rocci, Roberto;2;1.0
121;Bertrand, Patrice;Van Mechelen Iven;2;1.0
122;Bertrand, Patrice;Paula Brito;2;1.0
123;Bertrand, Patrice;Alain Guenoche;2;1.0
124;Bertrand, Patrice;Rudolf Kruse;2;1.0
125;Bertrand, Patrice;Vichi, Maurizio;2;1.0
126;Bertrand, Patrice;Wolfgang A. Gaul;2;1.0
127;Bertrand, Patrice;Edvin Diday;2;3.0
128;Bodjanova, Slavka;Rudolf Kruse;2;2.0
129;Bodjanova, Slavka;Edvin Diday;2;1.0
130;De Carvalho, Francisco De Assis Tenhorio;Kiers, Henk;2;2.0
131;De Carvalho, Francisco De Assis Tenhorio;Palumbo, Francesco;2;1.0
132;De Carvalho, Francisco De Assis Tenhorio;Paula Brito;2;1.0
133;De Carvalho, Francisco De Assis Tenhorio;Gilles Celeux;2;1.0
134;De Carvalho, Francisco De Assis Tenhorio;Verde, Rosanna;2;3.0
135;De Carvalho, Francisco De Assis Tenhorio;Vichi, Maurizio;2;2.0
136;De Carvalho, Francisco De Assis Tenhorio;Edvin Diday;2;3.0
137;Ferligoj, Anuska;Bertrand, Patrice;2;1.0
138;Ferligoj, Anuska;Murtagh, Fionn;2;1.0
139;Ferligoj, Anuska;Wolfgang A. Gaul;2;1.0
140;Ferligoj, Anuska;Edvin Diday;2;1.0
141;Geyer-Schulz, Andreas;Wolfgang A. Gaul;2;1.0
142;Groenen, Patrick J.F.;Leisch, Friedrich;2;1.0
143;Groenen, Patrick J.F.;Meulman, Jacqueline;2;8.0
144;Groenen, Patrick J.F.;Tibshirani, Robert;2;2.0
145;Groenen, Patrick J.F.;Renato Coppi;2;1.0
146;Groenen, Patrick J.F.;Wolfgang A. Gaul;2;4.0
147;Groenen, Patrick J.F.;Wojtek J Krzanowski;2;4.0
148;Groenen, Patrick J.F.;Edvin Diday;2;2.0
149;Hastie, Trevor;Wojtek J Krzanowski;2;1.0
150;Hastie, Trevor;Adrian Raftery;2;1.0
151;Hennig, Christian;Jajuga, Krzysztof;2;1.0
152;Hennig, Christian;Kiers, Henk;2;1.0
153;Hennig, Christian;Wolfgang A. Gaul;2;2.0
154;Hennig, Christian;Adrian Raftery;2;1.0
155;Hruschka, Harald;Hastie, Trevor;2;2.0
156;Hruschka, Harald;Tibshirani, Robert;2;2.0
157;Hruschka, Harald;Wolfgang A. Gaul;2;4.0
158;Hruschka, Harald;Adrian Raftery;2;1.0
159;Jajuga, Krzysztof;Vichi, Maurizio;2;1.0
160;Jajuga, Krzysztof;Wolfgang A. Gaul;2;2.0
161;Kiers, Henk;Rocci, Roberto;2;1.0
162;Kiers, Henk;Van Mechelen Iven;2;1.0
163;Kiers, Henk;Renato Coppi;2;4.0
164;Kiers, Henk;Wolfgang A. Gaul;2;1.0
165;Kiers, Henk;Wojtek J Krzanowski;2;2.0
166;Kuntz, Pascale;Kiers, Henk;2;1.0
167;Lausen, Berthold;Rudolf Kruse;2;1.0
168;Leisch, Friedrich;Tibshirani, Robert;2;1.0
169;Leisch, Friedrich;Rudolf Kruse;2;1.0
170;Leisch, Friedrich;Wojtek J Krzanowski;2;1.0
171;Makarenkov, Vladimir;Braak, Cajo ter;2;1.0
172;Makarenkov, Vladimir;Groenen, Patrick J.F.;2;1.0
173;Makarenkov, Vladimir;Jajuga, Krzysztof;2;1.0
174;Makarenkov, Vladimir;Kiers, Henk;2;2.0
175;Makarenkov, Vladimir;Mirkin, Boris;2;4.0
176;Makarenkov, Vladimir;Alain Guenoche;2;4.0
177;Makarenkov, Vladimir;Adrian Raftery;2;1.0
178;McLachlan, Geoff;Ferligoj, Anuska;2;1.0
179;McLachlan, Geoff;Groenen, Patrick J.F.;2;2.0
180;McLachlan, Geoff;Hastie, Trevor;2;1.0
181;McLachlan, Geoff;Murtagh, Fionn;2;1.0
182;McLachlan, Geoff;Tibshirani, Robert;2;2.0
183;McLachlan, Geoff;Vichi, Maurizio;2;1.0
184;McLachlan, Geoff;Gilbert Saporta;2;1.0
185;McLachlan, Geoff;Adrian Raftery;2;2.0
186;Meulman, Jacqueline;Ferligoj, Anuska;2;1.0
187;Meulman, Jacqueline;Groenen, Patrick J.F.;2;5.0
188;Meulman, Jacqueline;Hastie, Trevor;2;1.0
189;Meulman, Jacqueline;Kiers, Henk;2;2.0
190;Meulman, Jacqueline;Makarenkov, Vladimir;2;1.0
191;Meulman, Jacqueline;McLachlan, Geoff;2;1.0
192;Meulman, Jacqueline;Tibshirani, Robert;2;2.0
